0.000275,0.282153
0.0002755,0.289899
0.000276,0.293127
0.0002765,0.2931
0.000277,0.291437
0.0002775,0.289117
0.000278,0.285981
0.0002785,0.281113
0.000279,0.273481
0.0002795,0.262749
0.00028,0.248847
0.0002805,0.231373
0.000281,0.212286
0.0002815,0.199435
0.000282,0.19302
0.0002825,0.19125
0.000283,0.194325
0.0002835,0.203092
0.000284,0.2167
0.0002845,0.232559
0.000285,0.247337
0.0002855,0.26001
0.000286,0.270753
0.0002865,0.280311
0.000287,0.287984
0.0002875,0.293554
0.000288,0.296445
0.0002885,0.29751
0.000289,0.296987
0.0002895,0.295914
0.00029,0.294112
0.0002905,0.292146
0.000291,0.289254
0.0002915,0.284502
0.000292,0.274768
0.0002925,0.255919
0.000293,0.225909
0.0002935,0.191789
0.000294,0.172042
0.0002945,0.175242
0.000295,0.190514
0.0002955,0.203916
0.000296,0.212269
0.0002965,0.215784
0.000297,0.21748
0.0002975,0.218087
0.000298,0.218764
0.0002985,0.219319
0.000299,0.218977
0.0002995,0.217455
0.0003,0.213038
0.0003005,0.206398
0.000301,0.196717
0.0003015,0.186427
0.000302,0.1767
0.0003025,0.171064
0.000303,0.171476
0.0003035,0.180596
0.000304,0.199201
0.0003045,0.209417
0.000305,0.210707
0.0003055,0.215414
0.000306,0.219888
0.0003065,0.224767
0.000307,0.233648
0.0003075,0.246484
0.000308,0.262873
0.0003085,0.280199
0.000309,0.297074
0.0003095,0.311867
0.00031,0.323134
0.0003105,0.331055
0.000311,0.335121
0.0003115,0.33629
0.000312,0.335307
0.0003125,0.332265
0.000313,0.328315
0.0003135,0.322755
0.000314,0.315692
0.0003145,0.307028
0.000315,0.295707
0.0003155,0.282847
0.000316,0.268289
0.0003165,0.25355
0.000317,0.24146
0.0003175,0.233235
0.000318,0.228353
0.0003185,0.221062
0.000319,0.210953
0.0003195,0.201903
0.00032,0.193058
0.0003205,0.186375
0.000321,0.180667
0.0003215,0.174122
0.000322,0.168645
0.0003225,0.159652
0.000323,0.148247
0.0003235,0.132875
0.000324,0.105911
0.0003245,0.0868801
0.000325,0.0910009
